week,treatment,replicate,V_cmax,J_max
1,a,1,59.7738376,128.1405499
1,a,2,62.75295294,144.0283068
1,a,3,58.77846378,122.3528697
1,a,4,56.5108002,113.7123412
1,a,5,58.07437143,115.7813068
1,s,1,34.7272872,83.64975426
1,s,2,37.28677917,85.82117438
1,s,3,45.95058977,87.81295743
1,s,4,16.00006117,42.71806841
1,s,5,30.78985631,71.10898167
2,a,1,63.38511519,133.9060533
2,a,2,61.78519437,128.7520164
2,a,3,60.98814044,132.9189784
2,a,4,66.12303921,142.8018916
2,s,1,22.51353469,49.3767764
2,s,2,59.44905061,122.4556125
2,s,3,31.40716333,70.72334788
2,s,4,38.5288723,82.17363245
3,a,2,35.47311448,65.93922548
3,a,4,43.65205623,84.1343836
3,a,5,39.79903641,76.36248399
3,s,1,31.29800134,74.59777827
3,s,2,26.13035189,67.8577726
3,s,3,21.41092771,50.30083892
3,s,4,34.36804624,78.44772573
3,s,5,22.1495276,49.81466975
1,a,1,26.97633435,63.63389611
1,a,2,50.40303072,115.4945547
1,a,4,46.09648539,94.10089522
1,a,5,43.13765459,93.59681685
1,s,1,27.28397432,64.87213481
1,s,2,27.91723299,63.50423307
1,s,3,24.16096729,56.02839507
1,s,4,19.97040094,47.22039526
1,s,5,16.18492906,40.4261794
