Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,id,treatment,replicate,week
0,77.01771279,0.353488892,198.1513467,173.8123827,0.065689573,1000,NA,-4.38040466,0.110764139,91.65072835,703.6278498,796.5537925,299,38,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-12,aqua,12,1
0,82.59323841,0.348577399,217.8614216,187.3607777,0.073756678,1000,NA,-3.67946703,0.108416005,99.97689832,715.3490059,777.9071474,313,24,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-15,aqua,15,1
0,83.16060081,0.334474208,210.9432023,182.7023954,0.04857534,1000,NA,-4.004680114,0.098515742,65.1478754,658.9851046,796.9833821,278,50,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-16,aqua,16,1
0,25.5612606,0.096692451,60.88109182,59.13748317,0.063213612,1000,NA,-0.579128266,0.034243165,9.45958172,843.1123127,918.8105299,307,24,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,aqua,19,1
0,86.73902716,0.346817154,207.6961883,180.4796053,0.050592272,1000,NA,-1.330168802,0.09249914,52.2552435,579.7728415,887.9756553,228,109,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3,aqua,3,1
0,94.18401422,0.339302497,226.4979937,193.0263949,0.046323402,1000,NA,-5.959001269,0.091143805,37.03258877,537.8084854,947.4165849,187,138,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-1,aqua,1,2
0,97.32251053,0.534751036,238.59088,200.6764383,0.035200169,1000,NA,-11.95527575,0.147912392,62.22808293,549.4055481,916.7207229,199,126,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-14,aqua,14,2
0,65.02376601,0.578764371,166.3167462,150.1899707,0.072151449,1000,NA,-10.5126581,0.179512311,147.4037004,684.5170362,824.7066968,277,60,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,aqua,19,2
0,79.73427957,0.54363093,205.5636887,179.0071871,0.037870273,1000,NA,-11.7537163,0.171848178,111.4973224,680.1857103,939.910849,242,83,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-6,aqua,6,2
0,74.22549302,0.253179864,178.4366478,159.4280278,0.049199415,1000,NA,-5.999060551,0.074184198,29.32411925,608.1601456,949.4825786,210,115,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,aqua,7,2
0,94.50778397,0.263296639,206.8448673,179.8929802,0.054463573,1000,NA,-0.715363067,0.060835691,37.09048307,444.3474195,940.5596755,158,167,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-15,aqua,15,3
0,99.1840401,0.359319999,225.6678818,192.4890994,0.065856148,1000,NA,-1.240595497,0.086631679,55.33376704,468.2504537,888.6456746,169,156,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-17,aqua,17,3
0,57.49032265,0.399575265,134.774125,124.8341712,0.030579411,1000,NA,-3.876997026,0.118056011,60.47614654,628.3772899,906.6846395,227,97,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,aqua,19,3
0,43.83232723,0.232985533,91.35187895,87.17379329,0.044106561,1000,NA,0.279666853,0.059079804,26.10835163,504.2492015,969.4127696,163,162,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,aqua,7,3
0,79.24510275,0.297277644,174.955153,156.8044502,0.073071687,1000,NA,-0.281892065,0.073495493,60.74367011,481.7481356,962.0745431,165,159,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-9,aqua,9,3
0,73.13376604,0.411212245,168.5689211,151.9286968,0.044362299,1000,NA,-2.152981955,0.110540132,56.52178487,560.8656698,898.5324966,207,121,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-12,aqua,12,4
0,75.80510442,0.32401377,171.3030767,154.0261089,0.050170431,1000,NA,-0.327721155,0.083707936,40.2332571,524.9949731,887.9049551,185,143,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-16,aqua,16,4
0,93.42812787,0.398822501,205.0983374,178.6845643,0.048220069,1000,NA,-1.095628113,0.092204742,43.51479775,462.3311126,900.5040544,175,153,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,aqua,19,4
0,48.8672346,0.245113585,107.1116809,101.1787344,0.03878816,1000,NA,0.111710276,0.06634128,24.36012234,554.767221,923.4725316,191,137,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3,aqua,3,4
0,71.11049251,0.295161112,149.7202387,137.0768294,0.043495182,1000,NA,0.567253555,0.070069897,31.26260483,459.8398818,1024.341899,149,179,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-8,aqua,8,4
0,62.20069528,0.20061645,126.1268015,117.5735318,0.032600064,1000,NA,-3.278675819,0.046789767,16.47259724,460.6732682,1022.217408,158,181,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-1,soil,1,1
0,51.73217235,0.213934674,115.6675702,108.6264364,0.045063679,1000,NA,0.03055675,0.058981185,23.35711549,605.8750019,872.180575,230,100,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-12,soil,12,1
0,60.38956338,0.199417385,114.0940977,107.2652902,0.029541583,1000,NA,-0.523740324,0.046377077,13.50373357,465.8368355,946.8407122,168,162,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-13,soil,13,1
0,42.54520457,0.16701732,91.8036465,87.58022014,0.030602074,1000,NA,-0.828592991,0.044945164,12.82759123,556.6372701,972.8672865,193,138,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-20,soil,20,1
0,78.90613181,0.240877778,168.6751663,152.0104888,0.02983643,1000,NA,-1.232789631,0.057003678,16.52978064,475.0675417,925.6085213,179,151,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-9,soil,9,1
0,53.19276035,0.240949632,125.1968219,116.7852371,0.030102533,1000,NA,-8.48370862,0.073950008,19.89598312,632.4208019,1045.980103,207,133,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-11,soil,11,2
0,72.50323808,0.336246216,167.5866391,151.1715665,0.036502284,1000,NA,-7.842060957,0.093725427,41.39788513,567.1012439,890.8688038,230,142,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,soil,15,2
0,68.05313343,0.274278711,155.1478362,141.4225256,0.048866833,1000,NA,-5.887082718,0.075238144,33.9859174,559.1875093,1007.451623,196,144,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-4,soil,4,2
0,59.26201606,0.330938871,155.2125393,141.473995,0.031943168,1000,NA,-6.753563742,0.113914604,61.02150481,747.5350357,1019.205641,255,85,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-7,soil,7,2
0,96.53721068,0.590537018,222.7718132,190.602326,0.048686009,1000,NA,-12.77276281,0.150449336,66.28102212,526.1909314,893.3803546,209,125,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-9,soil,9,2
0,73.48190755,0.412163719,158.5464742,144.1156021,0.024504336,1000,NA,-8.667966207,0.103304273,23.73925581,478.4263011,1037.206397,157,171,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-17,soil,17,3
0,57.43828581,0.205009828,125.7438292,117.2490337,0.035177433,1000,NA,-6.46645258,0.057331095,14.83146154,545.8420259,1043.602749,162,151,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-18,soil,18,3
0,62.73028309,0.235209132,135.8989551,125.7692504,0.03585189,1000,NA,-2.415201948,0.060570979,20.23220315,518.4892781,970.9835022,175,153,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-2,soil,2,3
0,66.82776001,0.319074815,128.994565,119.995419,0.074782119,1000,NA,-2.185742459,0.083305478,65.8401966,537.7764565,1065.364926,174,154,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-7,soil,7,3
0,57.1406685,0.348228663,136.7345579,126.4624872,0.060806398,1000,NA,-3.18283637,0.102588096,60.06401722,650.1052156,1016.993609,218,110,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-9,soil,9,3
0,62.83466405,0.221998433,120.1458869,112.4789449,0.056436754,1000,NA,-2.348096511,0.053841678,38.66100478,479.1918646,1048.101164,160,168,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-1,soil,1,4
0,51.72181723,0.268520906,119.201435,111.6691457,0.035694159,1000,NA,-3.084898444,0.077787274,26.98122788,603.7688343,996.8267422,200,128,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-18,soil,18,4
0,57.77319483,0.271482568,131.0803667,121.74824,0.036918012,1000,NA,-0.715734233,0.075068863,27.30767686,569.2952929,1000.98326,194,134,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-2,soil,2,4
0,63.09052704,0.32418968,150.7715053,137.922697,0.05460715,1000,NA,-7.879913006,0.097613742,38.06528148,622.2190443,948.3220185,218,103,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-3,soil,3,4
0,61.64093098,0.271709039,152.1414285,139.0221333,0.041840635,1000,NA,-5.288586107,0.083737273,35.57027513,675.054512,986.3859013,233,95,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-4,soil,4,4
